,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,mf steady talking bout election many yall actually voted,0.007977101020514965,0.014737259596586227,0.2906765043735504,0.05828896909952164,0.07359082251787186,0.5547293424606323
1,snapchat storyrant election churchy yall today,0.005686750635504723,0.0061628748662769794,0.05458074063062668,0.7708216309547424,0.00820155069231987,0.15454642474651337
2,mama asked stefon voted talking voted slut,0.015951160341501236,0.017390597611665726,0.07439835369586945,0.23361003398895264,0.07368387281894684,0.5849660038948059
3,aye know voted bro,0.025593657046556473,0.00861947238445282,0.13521359860897064,0.08685232698917389,0.261384516954422,0.48233649134635925
4,ppl posting ignorant comment election convinced voted trump ignorant as make sense smh,0.030264100059866905,0.9089732766151428,0.02409082092344761,0.0012337272055447102,0.018278446048498154,0.01715955324470997
5,trump win one vote fault cause vote,0.05153616517782211,0.010419757105410099,0.8102310299873352,0.0772145465016365,0.02300587296485901,0.027592649683356285
6,give im voting donald trump,0.02240132726728916,0.024704566225409508,0.08056798577308655,0.03498026728630066,0.10096029937267303,0.7363855242729187
7,illegal share vote,0.014203015714883804,0.007558700628578663,0.19623829424381256,0.40849873423576355,0.21571429073810577,0.15778698027133942
8,people voted hennessy im gon lie thats slick funny thats yall favorite saying aint hennything happen,0.06998823583126068,0.0734163299202919,0.35764652490615845,0.05687396600842476,0.17993015050888062,0.26214471459388733
9,right voted someone asked voted um jesus thats,0.0057926904410123825,0.0007849653484299779,0.02841612510383129,0.6315388679504395,0.029865138232707977,0.3036021888256073
10,see black person could vote trump michigan must forgot water yal think trump go help,0.12034594267606735,0.16667494177818298,0.5099032521247864,0.0037241687532514334,0.07669932395219803,0.12265227735042572
11,call last tell voted say okay great worried vote cause like answer phone,0.262495756149292,0.0041928645223379135,0.058102261275053024,0.3697035014629364,0.128957137465477,0.17654849588871002
12,vote hillary clinton idc liar yall boyfriend lie yall everyday yall still fw vote hillary bitch,0.027998603880405426,0.07073024660348892,0.11479700356721878,0.05580712482333183,0.35582467913627625,0.3748423159122467
13,deff voting kanyae time come,0.027815598994493484,0.023627761751413345,0.30798107385635376,0.21015311777591705,0.11530889570713043,0.3151136040687561
14,honestly yall vote yall cant even say shit,0.07229844480752945,0.0872626081109047,0.2780775725841522,0.10670211166143417,0.13191568851470947,0.32374364137649536
15,im bout call late go vote,0.047672756016254425,0.005275438539683819,0.3269079625606537,0.07429570704698563,0.10846839100122452,0.4373796880245209
16,bitch need go vote attitude tooooo bad picking anybodys cotton,0.4525953531265259,0.21925032138824463,0.27856215834617615,0.011789209209382534,0.012310069054365158,0.02549300156533718
17,vote hillary,0.005428588483482599,0.006081992294639349,0.09973254054784775,0.47711437940597534,0.19957298040390015,0.21206943690776825
18,cousin talking bout trump win everybody vote way africa say shit boat,0.03948269039392471,0.009866293519735336,0.1620597541332245,0.16496501863002777,0.0199323371052742,0.603693962097168
19,vote hillary bitch,0.01579342596232891,0.008156596682965755,0.09550034999847412,0.2627912163734436,0.13839706778526306,0.47936129570007324
20,acting funny today guess cause voting day u must feeling self bc he voting trump,0.06087281182408333,0.009437746368348598,0.11705861985683441,0.3180919885635376,0.2891727387905121,0.2053661346435547
21,fact election serious twitter make joke im dead,0.09298459440469742,0.11966913193464279,0.20551732182502747,0.03823215886950493,0.4938923120498657,0.04970446974039078
22,bitch better beat,0.6036062240600586,0.08059766888618469,0.10829772800207138,0.06858044117689133,0.014497111551463604,0.12442082911729813
23,yall actin like election gone drastically change yall life either way yall still gotta work hard af succeed life,0.011876525357365608,0.0037603056989610195,0.1354299634695053,0.7092944383621216,0.06980867683887482,0.06983011215925217
24,like vote opinion aint shit like yall let,0.11404786258935928,0.028965923935174942,0.0843176320195198,0.4452778995037079,0.026512181386351585,0.30087849497795105
25,imma vote trump one im sorry lmao,0.011756396852433681,0.009534722194075584,0.2224224954843521,0.10710718482732773,0.3886706829071045,0.2605085074901581
26,yo vote donald trump latino retarded afim sorry,0.07225567102432251,0.05702099949121475,0.088856540620327,0.16563503444194794,0.36114245653152466,0.25508934259414673
27,watching election shit everybody gone blowed talking shit,0.09877949953079224,0.014115504920482635,0.04738961160182953,0.33997642993927,0.34014442563056946,0.15959453582763672
28,trump ky people start looking like dumb like im bitch voted i vote him,0.14232638478279114,0.37748315930366516,0.13849331438541412,0.04787426441907883,0.07108288258314133,0.22273997962474823
29,vote hillary clinton idc lier yall boyfriend lie everyday yall still fw vote hillary petty,0.012660276144742966,0.07936225086450577,0.1404515653848648,0.11133453994989395,0.278741717338562,0.3774496614933014
30,really wanted sticker pin said voted,0.010980651713907719,0.001680839224718511,0.006496830377727747,0.027919571846723557,0.9302460551261902,0.02267603576183319
31,im trying spread awareness get vote,0.02577957697212696,0.011911812238395214,0.18958184123039246,0.6983506679534912,0.042136553674936295,0.032239627093076706
32,case dumb nigga bitch vote mad ya nigga next hoe baby,0.028920363634824753,0.12910257279872894,0.3409111201763153,0.0717630684375763,0.25723469257354736,0.172068253159523
33,lot people voting trump keeping silent theyll called racist coon hillary lose,0.15998096764087677,0.1947525292634964,0.21524330973625183,0.06652568280696869,0.24074828624725342,0.1227491945028305
34,call em ask nigga need ok election,0.016589820384979248,0.03025825321674347,0.9118286371231079,0.005024231970310211,0.009641562588512897,0.02665748819708824
35,would pissy weak nigga ygs concert screaming fuck donald trump turned around voted nigga anyway,0.05373120307922363,0.16972750425338745,0.4294363856315613,0.03538572043180466,0.03142734616994858,0.2802917957305908
36,promise come one vote trump win thats yo as,0.05610132962465286,0.03204930201172829,0.206403911113739,0.05168335884809494,0.02416803129017353,0.629594087600708
37,lol yall better vote hillary,0.0014800155768170953,0.0015784400748088956,0.02088453806936741,0.256804496049881,0.04526134207844734,0.6739911437034607
38,man came american flag fit come vote,0.004751903936266899,0.005111543461680412,0.04966600239276886,0.05951786786317825,0.1338372677564621,0.7471154928207397
39,donald trump,0.02091086283326149,0.017538053914904594,0.11983010917901993,0.28406333923339844,0.09754446148872375,0.4601132571697235
40,trump snapped shit funny,0.11664590984582901,0.04542802646756172,0.02087390422821045,0.03076353669166565,0.031375735998153687,0.7549129128456116
41,post facebook said yall stole i voted sticker,0.030057867988944054,0.024593539535999298,0.0657186359167099,0.11471080034971237,0.15150101482868195,0.6134181022644043
42,went go vote lady saw look face said i know fucked either way go,0.022155199199914932,0.006922443397343159,0.07362103462219238,0.08012477308511734,0.14511246979236603,0.6720640659332275
43,hope vote trump,0.02370380237698555,0.0069306460209190845,0.483234167098999,0.08601503074169159,0.1752786487340927,0.22483761608600616
44,didnt even need id shit vote somebody coulda acted like voted trump,0.10415161401033401,0.11372461169958115,0.05028082802891731,0.05469591170549393,0.2298370748758316,0.4473099708557129
45,get vote,0.06591075658798218,0.07961732894182205,0.46601757407188416,0.22387756407260895,0.1042809709906578,0.06029585376381874
46,well timed well im sure would something say,0.07151751220226288,0.006854261737316847,0.14618073403835297,0.32313117384910583,0.18961670994758606,0.26269957423210144
47,go vote fr,0.0664275735616684,0.026480782777071,0.26598310470581055,0.2556675970554352,0.2892214059829712,0.09621962159872055
48,election meme killing,0.07430598139762878,0.06443019956350327,0.7651590704917908,0.0132149001583457,0.03955492377281189,0.043334897607564926
49,forget vote today every vote count really still go lol,0.013540002517402172,0.006053865421563387,0.10998909175395966,0.20154795050621033,0.1950739473104477,0.4737950563430786
50,mama called yesterday like were going vote oclock like girl get home first,0.009638119488954544,0.005188921000808477,0.04091472923755646,0.05151929706335068,0.10057835280895233,0.7921605706214905
51,terry said gone report vote trump,0.007159020751714706,0.0021765611600130796,0.06051311641931534,0.2270016223192215,0.09294494986534119,0.6102046966552734
52,tweet tonight election hilarious omg,0.0022021541371941566,0.0016961306100711226,0.07280495762825012,0.7839277386665344,0.011351063847541809,0.12801788747310638
53,vote hilary president idc liar yall boyfriend lie yall everyday,0.008316283114254475,0.059940654784440994,0.13775862753391266,0.13548126816749573,0.02686452493071556,0.6316385865211487
54,im fooling trel nem tonight gotta watch election,0.045147936791181564,0.017907608300447464,0.33218738436698914,0.2991798520088196,0.0913502648472786,0.21422690153121948
55,love election,0.06770502775907516,0.03491926193237305,0.31589215993881226,0.3846338093280792,0.05832050368189812,0.1385292261838913
56,trump win election gone get assassinated simple,0.00807083211839199,0.0009502217872068286,0.013169676065444946,0.8901969194412231,0.011322532780468464,0.0762898176908493
57,taking whole gang go vote today refuse get as beat group trump supporter,0.1156415119767189,0.02011314034461975,0.07096680998802185,0.48778799176216125,0.12201941013336182,0.1834711879491806
58,finna tell yall vote,0.0033403956331312656,0.0041027856059372425,0.06422381103038788,0.03957533836364746,0.02027079649269581,0.8684868812561035
59,im take election shit serious ima need yall chill,0.05178116634488106,0.022601041942834854,0.770524799823761,0.03960082307457924,0.029382631182670593,0.08610952645540237
60,thats fine even vote,0.23326191306114197,0.04510069265961647,0.1769728809595108,0.2762313783168793,0.1326482892036438,0.13578487932682037
61,following shady people scared even admit theyre voting,0.004384476691484451,0.003993489779531956,0.9713352918624878,0.005202257540076971,0.0018387151649221778,0.013245808891952038
62,im goin day ignorance finest fuck boy,0.026616021990776062,0.02471787855029106,0.8891849517822266,0.0022941685747355223,0.006325444672256708,0.050861503928899765
63,test today emailed teacher asking going postponed election day worth try,0.03579731285572052,0.006935166660696268,0.25698697566986084,0.2818617522716522,0.05810887739062309,0.3603099584579468
64,know election stuff supposed serious yall,0.029189733788371086,0.027589935809373856,0.11318845301866531,0.26651594042778015,0.013484940864145756,0.5500309467315674
65,hope none follower voted trump unfollow,0.011249787174165249,0.02396588958799839,0.03551638126373291,0.003909045364707708,0.18388932943344116,0.7414695620536804
66,wouldnt voted,0.02100830152630806,0.005430738441646099,0.09049972891807556,0.06084126979112625,0.08840671926736832,0.7338132262229919
67,voting nigga made statement suit,0.03803599625825882,0.0570121668279171,0.5495696663856506,0.08965993672609329,0.00925407838076353,0.25646817684173584
68,election actually scary lmfao im way south korea,0.00047562384861521423,0.0016776738921180367,0.8942595720291138,0.0002588506613392383,0.0015764586860314012,0.10175187885761261
69,election way close liking,0.013742881827056408,0.001915386994369328,0.3658449053764343,0.35866978764533997,0.07037204504013062,0.18945495784282684
70,let tell ya bein election judge working poll boring day baltimore,0.013708289712667465,0.004935928154736757,0.02572847716510296,0.47348660230636597,0.14845198392868042,0.33368873596191406
71,understand america voting system work tweet ridiculous,0.5561819076538086,0.0749008059501648,0.06817692518234253,0.08715169131755829,0.15690520405769348,0.05668338015675545
72,new jersey red state electoral college voted blue,0.06212422624230385,0.05345291644334793,0.5650081038475037,0.12245848029851913,0.0586978942155838,0.13825838267803192
73,yall wanna keep getting abortion yall better vote hillary,0.005192187614738941,0.02340847998857498,0.05781533941626549,0.1306789219379425,0.1727292835712433,0.6101757884025574
74,voted im proud,0.01021483913064003,0.0017286132788285613,0.07519737631082535,0.488242506980896,0.14955776929855347,0.2750588655471802
